,Phone_names,Links
0,"Motorola G34 5G (Ocean Green, 128 GB)",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
1,"Motorola G34 5G (Ice Blue, 128 GB)",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
2,"POCO C55 (Power Black, 64 GB)",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
3,"Motorola G34 5G (Charcoal Black, 128 GB)",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
4,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGKY2VTP3XETBR.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
5,"POCO C51 (Power Black, 64 GB)",https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
6,"POCO C51 (Royal Blue, 128 GB)",https://www.flipkart.com/poco-c51-royal-blue-128-gb/p/itm9ade6427024be?pid=MOBGSPJPFSS9JJDW&lid=LSTMOBGSPJPFSS9JJDWVAIRSD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGSPJPFSS9JJDW.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
7,"POCO C51 (Power Black, 128 GB)",https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
8,"Apple iPhone 15 (Blue, 128 GB)",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYO7HQ2L&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
9,"realme C53 (Champion Black, 64 GB)",https://www.flipkart.com/realme-c53-champion-black-64-gb/p/itm5df90168ecd05?pid=MOBGQY93HQSAGAXG&lid=LSTMOBGQY93HQSAGAXGQLZ2WK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=organic&iid=693007a0-2949-4d12-a6fe-a7b04d818900.MOBGQY93HQSAGAXG.SEARCH&ppt=None&ppn=None&ssid=8hxit49mls0000001710654224354&qH=eb4af0bf07c16429
