,Shoe_names,Price,Links
0,HOTSTYLE,₹368,https://www.flipkart.com/hotstyle-stylish-trendy-loafers-men/p/itm13f38abc253b9?pid=SHOGNEFFKQ5MACRU&lid=LSTSHOGNEFFKQ5MACRUZMB1ZX&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45OEURmeNBHZY0d_E-tL6OP5zW2f5wXjGde7bAlbxv7Hbw%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
1,BIRDE,₹474,https://www.flipkart.com/birde-premium-lofer-shoes-slip-sneakers-men/p/itm5926e09e2359a?pid=SHOGG5MNTSPZYUZ4&lid=LSTSHOGG5MNTSPZYUZ4OCR5FH&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45MGwBhGhc3x_50MG4Nd11uqJLVKJX8Nh1tMwvZRdAbixQ%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
2,Bata,₹649,https://www.flipkart.com/bata-lace-up-men/p/itm3b2932e178316?pid=SHOGJSA4DSQHBQNK&lid=LSTSHOGJSA4DSQHBQNKI85G5U&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGJSA4DSQHBQNK.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
3,URBANBOX,₹299,https://www.flipkart.com/urbanbox-trending-stylish-casual-outdoor-shoes-sneakers-men/p/itm20f1e7caa80e8?pid=SHOGP8QUMPEYXDWX&lid=LSTSHOGP8QUMPEYXDWXQ4MXXV&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGP8QUMPEYXDWX.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
4,CAMPUS,₹849,https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itmf8ff8f65cc63f?pid=SHOG2EYZPCPDTR8T&lid=LSTSHOG2EYZPCPDTR8TOWRDXU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG2EYZPCPDTR8T.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
5,CAMPUS,₹849,https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm8f7228d1e224c?pid=SHOG2EYZMKTY2HHZ&lid=LSTSHOG2EYZMKTY2HHZNDRHT5&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG2EYZMKTY2HHZ.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
6,HOTSTYLE,₹220,https://www.flipkart.com/hotstyle-pilot-loafers-men/p/itmf3xzbhrychwgn?pid=SHOEY83Y3ZFW5UNU&lid=LSTSHOEY83Y3ZFW5UNUFQJHVL&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45NwXuDKHZoMiUX_zPcy1jMpoj7BBDNqyXArkZJB59CFpw%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
7,Airson,₹493,https://www.flipkart.com/airson-latest-lightweight-walking-gym-party-running-shoes-men/p/itm0eb1b481cf361?pid=SHOGZBK2355X9V9V&lid=LSTSHOGZBK2355X9V9VG0ETOK&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45Pmqu2f5rptrOmOIuDOtkRD82WjrUwopGb_mTWvKMrPZg%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
8,SPOTWALK,₹499,https://www.flipkart.com/spotwalk-canvas-shoes-men/p/itmce8b7854d7b01?pid=SHOGXJ4QADERUEPU&lid=LSTSHOGXJ4QADERUEPUHNS1ZV&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOGXJ4QADERUEPU.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
9,CAMPUS,₹849,https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm27c989f1e20c6?pid=SHOG4G3XXYVUCYPJ&lid=LSTSHOG4G3XXYVUCYPJ3LXIRU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=7040445d-c949-4962-9d84-cf28e22a209b.SHOG4G3XXYVUCYPJ.SEARCH&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
10,BIRDE,₹570,https://www.flipkart.com/birde-sneakers-stylish-soft-comfortable-lightweight-regular-wear-shoes-walking-men/p/itm0886f44154d5d?pid=SHOGT6FWCUPYSRXV&lid=LSTSHOGT6FWCUPYSRXVMBY8MU&marketplace=FLIPKART&q=shoes+for+men&store=osp%2Fcil&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_Nr3Vrg-qXiMLXgPDseVcRkLmXZFny4cZYfZppk1W45PKZjsq7V_Y0sNpev-UB-oGwIiuA5MkU4E_g5jrt7MafQ%3D%3D&ppt=None&ppn=None&ssid=z1hnr5mqkg0000001710683169374&qH=9b802224ae37096b
